Block,GISJOIN,FIPS,ADI_NATRANK,ADI_STATERNK
203341,G48007909501001,480799501001,94,10
203342,G48007909501002,480799501002,99,10
203343,G48007909501003,480799501003,100,10
203344,G48008109501001,480819501001,83,8
203345,G48008109501002,480819501002,89,9
203346,G48008109502001,480819502001,99,10
203347,G48008109502002,480819502002,98,10
203348,G48008309503001,480839503001,94,10
203349,G48008309503002,480839503002,87,9
203350,G48008309503003,480839503003,95,10
203351,G48008309503004,480839503004,93,9
203352,G48008309503005,480839503005,93,9
203353,G48008309503006,480839503006,94,10
203354,G48008309506001,480839506001,78,7
203355,G48008309506002,480839506002,70,7
203356,G48008309507001,480839507001,81,8
203357,G48008309507002,480839507002,87,9
203358,G48008309507003,480839507003,96,10
203359,G48008500301011,480850301011,41,3
203360,G48008500301012,480850301012,53,4
203361,G48008500301021,480850301021,31,2
203362,G48008500301022,480850301022,30,2
203363,G48008500302011,480850302011,18,1
203364,G48008500302012,480850302012,23,2
203365,G48008500302021,480850302021,25,2
203366,G48008500302022,480850302022,18,1
203367,G48008500302023,480850302023,20,1
203368,G48008500302041,480850302041,54,4
203369,G48008500302042,480850302042,36,3
203370,G48008500302043,480850302043,41,3
203371,G48008500302051,480850302051,48,4
203372,G48008500302052,480850302052,44,3
203373,G48008500302061,480850302061,25,2
203374,G48008500302062,480850302062,25,2
203375,G48008500302071,480850302071,49,4
203376,G48008500302072,480850302072,44,3
203377,G48008500302073,480850302073,29,2
203378,G48008500303011,480850303011,12,1
203379,G48008500303012,480850303012, , 
203380,G48008500303013,480850303013,26,2
203381,G48008500303014,480850303014,25,2
203382,G48008500303015,480850303015,23,2
203383,G48008500303021,480850303021,6,1
203384,G48008500303022,480850303022,7,1
203385,G48008500303023,480850303023,6,1
203386,G48008500303031,480850303031,10,1
203387,G48008500303032,480850303032,15,1
203388,G48008500303033,480850303033,11,1
203389,G48008500303034,480850303034,11,1
203390,G48008500303035,480850303035,10,1
203391,G48008500303041,480850303041,10,1
203392,G48008500303042,480850303042,13,1
203393,G48008500303043,480850303043,13,1
203394,G48008500303044,480850303044,9,1
203395,G48008500303061,480850303061,17,1
203396,G48008500303062,480850303062,19,1
203397,G48008500303063,480850303063,16,1
203398,G48008500303064,480850303064,25,2
203399,G48008500303065,480850303065,25,2
203400,G48008500303066,480850303066,34,2
203401,G48008500303071,480850303071,21,1
203402,G48008500303072,480850303072,19,1
203403,G48008500303073,480850303073,16,1
203404,G48008500303074,480850303074,25,2
203405,G48008500303075,480850303075,11,1
203406,G48008500304031,480850304031,28,2
203407,G48008500304032,480850304032,19,1
203408,G48008500304033,480850304033,18,1
203409,G48008500304041,480850304041,28,2
203410,G48008500304042,480850304042,29,2
203411,G48008500304043,480850304043,21,1
203412,G48008500304044,480850304044,31,2
203413,G48008500304051,480850304051,37,3
203414,G48008500304052,480850304052,41,3
203415,G48008500304061,480850304061,4,1
203416,G48008500304062,480850304062,4,1
203417,G48008500304071,480850304071,3,1
203418,G48008500304072,480850304072,10,1
203419,G48008500304091,480850304091,33,2
203420,G48008500304092,480850304092,33,2
203421,G48008500304101,480850304101,43,3
203422,G48008500304102,480850304102,34,2
203423,G48008500304103,480850304103,35,3
203424,G48008500305041,480850305041,10,1
203425,G48008500305042,480850305042,10,1
203426,G48008500305051,480850305051,19,1
203427,G48008500305052,480850305052,19,1
203428,G48008500305053,480850305053,19,1
203429,G48008500305061,480850305061,26,2
203430,G48008500305062,480850305062,27,2
203431,G48008500305071,480850305071,20,1
203432,G48008500305091,480850305091,23,2
203433,G48008500305092,480850305092,23,2
203434,G48008500305101,480850305101,23,2
203435,G48008500305102,480850305102,24,2
203436,G48008500305111,480850305111,9,1
203437,G48008500305112,480850305112,23,2
203438,G48008500305113,480850305113,28,2
203439,G48008500305121,480850305121,12,1
203440,G48008500305122,480850305122,11,1
203441,G48008500305151,480850305151,30,2
203442,G48008500305152,480850305152,30,2
203443,G48008500305153,480850305153,29,2
203444,G48008500305154,480850305154,30,2
203445,G48008500305161,480850305161,27,2
203446,G48008500305162,480850305162,21,1
203447,G48008500305163,480850305163,30,2
203448,G48008500305171,480850305171,29,2
203449,G48008500305172,480850305172,19,1
203450,G48008500305173,480850305173,22,1
203451,G48008500305174,480850305174,27,2
203452,G48008500305181,480850305181,8,1
203453,G48008500305182,480850305182,9,1
203454,G48008500305191,480850305191,11,1
203455,G48008500305192,480850305192,17,1
203456,G48008500305201,480850305201,13,1
203457,G48008500305202,480850305202,30,2
203458,G48008500305203,480850305203,17,1
203459,G48008500305211,480850305211,19,1
203460,G48008500305212,480850305212,15,1
203461,G48008500305241,480850305241,24,2
203462,G48008500305242,480850305242,35,3
203463,G48008500305243,480850305243,18,1
203464,G48008500305244,480850305244,33,2
203465,G48008500305251,480850305251,24,2
203466,G48008500305252,480850305252,20,1
203467,G48008500305253,480850305253,7,1
203468,G48008500305291,480850305291,24,2
203469,G48008500305292,480850305292,19,1
203470,G48008500305311,480850305311,12,1
203471,G48008500305312,480850305312,23,2
203472,G48008500305313,480850305313,17,1
203473,G48008500305321,480850305321,22,1
203474,G48008500305322,480850305322,20,1
203475,G48008500305331,480850305331,20,1
203476,G48008500305332,480850305332,24,2
203477,G48008500305341,480850305341,22,1
203478,G48008500305342,480850305342,19,1
203479,G48008500305351,480850305351,34,2
203480,G48008500305352,480850305352,33,2
203481,G48008500305361,480850305361,26,2
203482,G48008500305362,480850305362,15,1
203483,G48008500305363,480850305363,17,1
203484,G48008500305371,480850305371,21,1
203485,G48008500305372,480850305372,12,1
203486,G48008500305373,480850305373,21,1
203487,G48008500305374,480850305374,21,1
203488,G48008500305381,480850305381,40,3
203489,G48008500305382,480850305382,10,1
203490,G48008500305383,480850305383,22,1
203491,G48008500305391,480850305391,22,1
203492,G48008500305392,480850305392,30,2
203493,G48008500305393,480850305393,29,2
203494,G48008500305401,480850305401,34,2
203495,G48008500305402,480850305402,34,2
203496,G48008500305411,480850305411,20,1
203497,G48008500305412,480850305412,18,1
203498,G48008500305421,480850305421,23,2
203499,G48008500305422,480850305422,23,2
203500,G48008500305423,480850305423,23,2
203501,G48008500305424,480850305424,23,2
203502,G48008500305425,480850305425,23,2
203503,G48008500305431,480850305431,20,1
203504,G48008500305432,480850305432,22,1
203505,G48008500305441,480850305441,15,1
203506,G48008500305442,480850305442,24,2
203507,G48008500305451,480850305451,13,1
203508,G48008500305461,480850305461,11,1
203509,G48008500305462,480850305462,16,1
203510,G48008500305471,480850305471,17,1
203511,G48008500305472,480850305472,18,1
203512,G48008500305473,480850305473,14,1
203513,G48008500305481,480850305481,21,1
203514,G48008500305482,480850305482,20,1
203515,G48008500305483,480850305483,24,2
203516,G48008500305491,480850305491,35,3
203517,G48008500305492,480850305492,40,3
203518,G48008500305501,480850305501,36,3
203519,G48008500305502,480850305502,38,3
203520,G48008500305503,480850305503,23,2
203521,G48008500306041,480850306041,31,2
203522,G48008500306042,480850306042, , 
203523,G48008500306051,480850306051,45,4
203524,G48008500306052,480850306052,38,3
203525,G48008500306053,480850306053,37,3
203526,G48008500306061,480850306061,29,2
203527,G48008500306062,480850306062,33,2
203528,G48008500306063,480850306063,31,2
203529,G48008500306071,480850306071,18,1
203530,G48008500306072,480850306072,18,1
203531,G48008500306073,480850306073,17,1
203532,G48008500306081,480850306081,45,4
203533,G48008500306082,480850306082,44,3
203534,G48008500306091,480850306091, , 
203535,G48008500306092,480850306092,33,2
203536,G48008500306093,480850306093,42,3
203537,G48008500306094,480850306094,37,3
203538,G48008500306095,480850306095,22,1
203539,G48008500307011,480850307011,48,4
203540,G48008500307012,480850307012,56,5
203541,G48008500307021,480850307021,61,5
