FIPS,National Risk Index - Score - Composite,Social Vulnerability - Score,Community Resilience - Score,Cold Wave - Hazard Type Risk Index Score,Drought - Hazard Type Risk Index Score,Hail - Hazard Type Risk Index Score,Heat Wave - Hazard Type Risk Index Score,Hurricane - Hazard Type Risk Index Score,Ice Storm - Hazard Type Risk Index Score,Landslide - Hazard Type Risk Index Score,Lightning - Hazard Type Risk Index Score,Riverine Flooding - Hazard Type Risk Index Score,Strong Wind - Hazard Type Risk Index Score,Tornado - Hazard Type Risk Index Score,Volcanic Activity - Hazard Type Risk Index Score,Wildfire - Hazard Type Risk Index Score,Winter Weather - Hazard Type Risk Index Score
48167723800,99.7693,16.75,85.56999969,0,0,67.1681016,75.307996,94.36122256,25.28708626,0,85.02515573,99.97621652,28.54135946,74.41254816,,82.54055083,75.38410313
48167723900,99.9429,41.18000031,85.56999969,0,75.59101936,69.53931408,60.65618608,97.56634084,20.99033745,0,77.85697173,99.9952433,32.67492746,72.04252485,,99.1616325,68.49759787
48167724000,99.9786,56.20000076,85.56999969,0,71.75712315,74.89416354,78.07520335,99.23009,25.75699727,57.5093845,79.21298515,99.99881083,40.77082243,79.72577653,,79.76977596,75.00118917
48167724101,99.4649,74.62999725,85.56999969,0,0,63.89906293,64.76834895,93.92747045,15.19134189,55.27974736,57.75754672,99.93340627,26.3187937,61.21866527,,86.63130857,61.26979974
48167724200,98.3827,70.91000366,85.56999969,0,0,63.26761166,80.68425058,87.81466392,23.73784839,0,79.12434116,99.81805641,23.38985873,73.51947867,,0,76.4686296
48167724300,99.8585,61.97999954,85.56999969,0,0,68.91618703,80.53203634,95.99089121,26.56906223,48.51695168,78.65955918,99.98335157,30.83408648,76.61727632,,0,76.6541407
48167724400,99.7253,87.33000183,85.56999969,0,0,67.97436141,83.85577701,93.78030456,30.02290816,0,83.16602779,99.97502735,28.81249108,79.55691386,,0,79.90415259
48167724500,99.7812,47.99000168,85.56999969,0,0,62.96199401,59.89511487,93.72453643,12.61857911,0,51.66986104,99.97978405,25.76463873,57.74865623,,0,56.34424202
48167724600,98.8988,98.68000031,85.56999969,0,0,62.23303049,77.86234125,87.98196831,23.08290992,0,75.58097748,99.88465015,22.94629691,69.90676878,,0,73.4909385
48167724700,99.0986,87.44000244,85.56999969,0,0,61.99281739,75.90852875,88.67132434,21.47787013,0,72.80905606,99.91319032,23.04618751,67.79598535,,0,71.57755791
48167724800,98.7121,68.91000366,85.56999969,0,0,57.59763117,66.13114208,87.32359457,14.97400805,0,58.53138476,99.87632593,21.11021262,58.52043001,,0,61.66222708
48167724900,95.6869,78.30000305,85.56999969,0,0,56.88055939,69.30980355,85.37635741,16.64219213,0,62.77072353,99.61351853,20.30038529,60.44926985,,0,64.73029539
48167725000,97.1947,87.09999847,85.56999969,0,0,62.94653475,75.21167293,90.43421685,21.07110341,0,71.99089602,99.66822052,24.11406555,67.66398706,,0,70.95443086
48167725100,99.233,88.65000153,85.56999969,0,0,62.13670742,73.38034534,90.02060323,19.67899204,0,69.25491136,99.92032536,23.57418066,65.69947201,,0,69.09813062
48167725200,98.0248,96.31999969,85.56999969,0,0,60.91423679,77.50321077,86.03473115,22.62474669,0,75.36895065,99.80021881,21.77614993,68.85910669,,0,73.07948437
48167725300,98.3173,53.06999969,85.56999969,0,0,59.38020264,73.15796984,86.43750097,19.2472613,0,69.18782942,99.82875898,21.37064168,64.2903011,,0,68.6640822
48167725400,99.0689,80.91999817,85.56999969,0,0,67.00280645,86.05455929,90.60771769,32.80859937,0,86.84115956,99.89297436,26.59824954,81.68672406,,0,82.04585454
48167725500,92.0076,44.36000061,85.56999969,0,0,54.91247681,58.01859868,86.90068626,10.9929807,69.37496276,46.47700048,99.16401085,20.23854826,52.36050992,,0,53.7661133
48167725600,99.8466,79.98999786,85.56999969,0,0,71.15064453,86.56709318,96.39366102,34.26385503,96.08174939,87.52515573,99.98097322,32.76649384,84.58711887,,0,82.82357418
48167725700,98.3328,23.09000015,85.56999969,0,0,58.64529325,70.52632831,86.80309203,17.53061764,91.92397068,63.79611883,99.83113733,21.24934595,61.98924987,,0,66.0217381
48167725800,99.8656,85.91999817,85.56999969,0,0,71.53950435,89.04057461,95.4517993,33.80716027,0,91.54528031,99.98454074,32.37049898,88.31042192,,29.89226086,85.54797127
