ZIP,ADI National Rank,ADI State Rank,Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation,Social Vulnerability Index,National Risk Index (FEMA),Social Vulnerability Score,Community Resilience Score,Longitude,Latitude,Miles to UMC
75503,87.41141951,8.658165536,0.761275531,0.682054859,0.543586438,0.883082583,0.817687327,77.41723733,91.38280443,32.5,-94.13021473,33.51343488,446.3357751
75504,95.25,10,0.73,0.66,0.56,0.82,0.77,80.3786,97.95999908,32.5,NA,NA,NA
75505,95.25,10,0.73,0.66,0.56,0.82,0.77,80.3786,97.95999908,32.5,NA,NA,NA
75550,79.33333333,8,0.54,0.59,0.09,0.33,0.43,46.9307,46.59999847,19.53000069,-94.88448597,33.49960571,402.9292949
75551,78.74237741,7.545234316,0.565789078,0.690071088,0.229761646,0.637566279,0.595051434,62.24693839,70.29662249,24.44000053,-94.20321994,33.11646508,444.2974715
75554,79.33333333,8,0.54,0.59,0.09,0.33,0.43,46.9307,46.59999847,19.53000069,-94.78559467,33.58531726,408.3812199
75555,83.10441353,8.165893869,0.38707468,0.445850641,0.079761379,0.400477243,0.340119311,39.42560521,44.85155971,19.12550617,-94.13699811,32.94567011,449.5538703
75558,80.03886471,7.841241986,0.47046821,0.476638735,0.24,0.630167592,0.491956636,93.45959501,67.0428768,28.06146068,-94.85563499,33.25015012,405.7920735
75559,65.55314737,6.405207152,0.428840814,0.416356151,0.172199709,0.665975137,0.47864062,68.71413211,59.56351786,29.82705778,-94.63932957,33.49914198,417.0549345
75560,91.5,9.5,0.58,0.56,0.09,0.36,0.45,51.6327,61.75999832,24.44000053,-94.36699073,33.19568562,434.2964971
75563,85.26950008,8.549584758,0.467543353,0.517159372,0.052514451,0.445681255,0.407159372,48.02011053,51.38185776,24.44000053,-94.38869666,33.01834951,434.418529
75564,86,8.5,0.41,0.4,0.16,0.24,0.3,32.0934,48.16999817,11.98999977,-94.2496357,32.88782482,443.6373022
75565,81.66666667,8,0.37,0.48,0.02,0.52,0.37,44.8866,42.38000107,24.44000053,-94.07526766,32.95190217,453.0466617
75566,91.5,9.5,0.58,0.56,0.09,0.36,0.45,51.6327,61.75999832,24.44000053,-94.4901584,33.15255891,427.5051674
75567,86.5,8.5,0.41,0.35,0.04,0.47,0.35,37.6231,55.84000015,32.5,-94.31933937,33.31687729,436.3017605
75568,85.70212548,8.447912932,0.49039181,0.632664778,0.187187703,0.625495368,0.538933145,88.98863689,72.72257254,34.02560192,-94.59367435,33.19605526,421.2364653
75570,63.25395646,6.08968731,0.448447741,0.428483615,0.24,0.903068645,0.585379096,79.33934773,73.6941503,32.5,-94.43892565,33.46486705,428.7247005
75571,82.4160413,8.080868648,0.467937651,0.60886712,0.254514809,0.621335715,0.526669932,93.00969654,72.94263155,33.98105997,-94.76408267,33.20702534,411.3465835
75572,76.49064659,7.198752879,0.632695065,0.807825109,0.350468157,0.768241248,0.72300717,71.93550217,83.17770226,24.44000053,-94.12934843,33.23112374,447.7548657
75574,91.5,9.5,0.15,0.21,0,0.1,0.08,40.1215,21.80999947,32.5,-94.55231567,33.32890643,422.8122117
75599,82,8,0.7,0.56,0.48,0.94,0.78,82.7035,83.93000031,32.5,NA,NA,NA
75601,69.43134666,6.501332175,0.520396466,0.551077535,0.347822513,0.710786779,0.582408466,76.72696309,69.47828196,26.18133819,-94.7241886,32.50859478,421.0926781
75602,74.99212748,7.246358168,0.672057157,0.642553498,0.505741421,0.653285474,0.675581699,78.43804256,81.443548,26.35792366,-94.65712692,32.45804623,425.6612749
75603,85.07169838,8.330931729,0.663546122,0.758490566,0.536763103,0.729560797,0.729419287,72.86593616,78.48439561,23.20662279,-94.71749112,32.40446898,423.0444024
75604,66.38435691,6.150446094,0.447985084,0.594422633,0.292246022,0.545851034,0.492455847,81.06583449,65.50227835,25.79605199,-94.82920266,32.51370155,415.030084
75605,60.47569225,5.422041034,0.346070632,0.486222444,0.166484988,0.521194042,0.386482959,77.72755419,57.18688408,26.1714764,-94.7155427,32.58385166,420.5243338
75606,69.75,6.75,0.84,0.6,0.56,0.97,0.88,83.0245,90.43000031,25.94000053,NA,NA,NA
75607,69.75,7,0.64,0.38,0.73,0.6,0.61,82.8093,91.23000336,25.94000053,NA,NA,NA
75608,42.5,3.25,0.14,0.61,0.13,0.5,0.3,79.4142,28.44000053,25.94000053,NA,NA,NA
75615,42.5,3.25,0.14,0.61,0.13,0.5,0.3,79.4142,28.44000053,25.94000053,NA,NA,NA
75630,89.26490408,8.878882549,0.563115767,0.589548132,0.131188568,0.56117312,0.53044511,63.70544088,67.47939729,18.01966124,-94.55720169,32.87586371,426.0873017
75631,82.66666667,8,0.39,0.64,0.09,0.43,0.41,67.2656,64.58999634,25.89999962,-94.44960745,32.25340605,440.7162404
75633,76.9631794,7.308407026,0.414434756,0.538081595,0.119043912,0.518796844,0.429586318,65.71022215,55.93790495,24.76308999,-94.28109307,32.12792507,452.438679
75636,82,8,0.41,0.75,0.19,0.47,0.48,99.7419,72.98999786,41.22000122,NA,NA,NA
75637,71,7,0.31,0.58,0.04,0.33,0.32,53.2286,34.36000061,25.89999962,NA,NA,NA
75638,86.46084677,8.509776057,0.491048754,0.669391009,0.237175502,0.699081909,0.581421746,92.21048095,77.40435416,36.37521428,-94.73174618,33.01869656,414.6800019
75639,76.465136,7.217601608,0.423403585,0.546596415,0.185412276,0.523508963,0.437991309,72.15040212,61.74939639,26.54406074,-94.16901044,32.28440406,456.1472805
75640,71.66793786,6.73386911,0.391691238,0.239507371,0.056830876,0.233875105,0.234860362,66.06497626,40.68207533,20.65155098,-94.68133536,32.71518871,420.7793149
75642,67.66666667,6.333333333,0.35,0.62,0.19,0.34,0.36,68.4215,58.45999908,27.09000015,-94.17819958,32.35819829,454.4633253
75643,81.94429374,8.282434064,0.461131613,0.675544345,0.216814204,0.623072078,0.545227159,79.09055596,72.39876794,14.23182431,-94.35518167,32.01042038,450.4195496
75644,76.50047792,7.256984461,0.566382281,0.557649828,0.196056149,0.569725141,0.543135244,83.77175245,71.85803467,23.31306233,-94.9949944,32.79167886,401.893
75645,64.97455562,5.925594948,0.399405019,0.492294021,0.110267022,0.486562566,0.398768567,78.72572966,52.68808582,24.97574391,-94.87317862,32.68371689,410.1894908
75647,68.25616011,6.329276878,0.399744132,0.388976528,0.087820892,0.37872066,0.331155635,76.87907633,50.89379614,24.67000008,-94.96430925,32.51667437,407.2855623
75650,60.65913275,5.400152371,0.372800324,0.551261136,0.088923783,0.488869792,0.399305768,73.43617934,61.17981444,27.09000015,-94.55355528,32.51520875,430.7333201
75651,91.43059945,9.286119891,0.56604194,0.467034263,0.085347313,0.430793859,0.446339637,43.40199603,54.44342908,11.98999977,-94.53067041,32.67059179,429.9605712
75652,71.50245683,6.876745588,0.545565712,0.503536395,0.276476703,0.658779122,0.55438552,64.01829181,76.1472606,17.62088602,-94.72810258,32.23010771,425.3311217
75654,69.71336019,6.699418424,0.556406516,0.497540645,0.322595385,0.623930444,0.552585879,61.92568148,75.76484582,16.79999924,-94.82963123,32.08302817,422.2990463
75656,84.67544715,8.303197832,0.501546342,0.70337743,0.167804307,0.543096717,0.531201097,85.17677295,74.33842368,31.38508269,-94.58685059,33.01468802,423.0503208
75657,82.94495413,8.171537506,0.506715647,0.5346235,0.17667797,0.554599817,0.492136283,60.85130357,67.51229925,18.25765708,-94.30502839,32.79440271,441.4385183
75658,55,5.333333333,0.62,0.35,0.41,0.7,0.57,58.6929,65.80999756,16.79999924,-94.90360475,32.17539844,416.3919959
75660,42.5,3.25,0.14,0.61,0.13,0.5,0.3,79.4142,28.44000053,25.94000053,NA,NA,NA
75661,59,5.333333333,0.34,0.3,0.11,0.58,0.35,64.9253,57.97000122,27.09000015,-94.15656347,32.63905786,451.782266
75662,76.95031181,7.430341083,0.452835877,0.655237762,0.309222549,0.73765318,0.593739792,78.96023535,77.64684825,21.6730458,-94.87502649,32.38077461,414.4651607
75663,95,10,0.93,0.36,0.5,0.99,0.89,88.314,98.83999634,25.94000053,NA,NA,NA
75666,77.75,7.5,0.36,0.88,0.26,0.73,0.6,80.7699,85.50998688,16.79999924,NA,NA,NA
75667,73.76797274,6.983645656,0.518972772,0.458217822,0.25470297,0.516485149,0.47,66.37820458,72.49986388,16.79999924,-94.83730524,31.98800542,423.7416155
75668,85.55976382,8.485471053,0.489585561,0.605679908,0.136624332,0.45000382,0.462832315,71.00704256,63.53075188,26.31191893,-94.68483512,32.90847555,418.4221288
75669,73.42102888,6.989056859,0.378164483,0.396561162,0.102423142,0.412541186,0.337224024,45.01951291,38.38746921,20.33187123,-94.55680203,32.03346797,438.6159022
75670,78.74461119,7.780440877,0.566363769,0.745898591,0.362980453,0.649002702,0.640204718,71.913492,80.00121624,27.09000015,-94.42328206,32.56448725,437.4902371
75671,96,10,0.87,0.91,0.73,0.41,0.81,58.4788,56.61000061,27.09000015,-94.31497201,32.48906774,444.7258615
75672,77.60624622,7.528623568,0.552419712,0.658055679,0.305942548,0.598130424,0.584629759,69.15917051,72.41816961,26.93083843,-94.29353315,32.47067683,446.2127837
75680,66,6,0.25,0.29,0,0.46,0.26,35.0604,31.04000092,16.79999924,-94.71813307,32.01031723,429.9883511
75681,80.27064284,7.749176143,0.453563377,0.415155311,0.198479459,0.434249749,0.39800977,45.63268944,52.77101996,16.79999924,-94.68501601,31.93592668,433.3426641
75682,90.5,9,0.8,0.64,0.54,0.43,0.67,46.0151,88.01999664,16.79999924,-94.94712251,32.25159489,412.5600472
75683,83.94894744,8.162609194,0.609127882,0.520973793,0.149418588,0.710392381,0.59582844,67.12670866,72.0488704,19.86892306,-94.74031459,32.82179175,416.1548565
75684,74.99465571,7.247316815,0.53621834,0.640914779,0.274907628,0.709151147,0.605207092,57.50651788,78.71571601,21.3316709,-94.93148302,32.2708253,413.1078024
75685,84.25,8,0.51,0.46,0.18,0.74,0.53,76.5495,65.62999725,25.89999962,NA,NA,NA
75686,76.19143042,7.301978905,0.565226281,0.682262014,0.296100996,0.52436237,0.571652195,84.88695039,73.86683889,19.50308177,-94.94695511,32.96920376,402.7628916
75687,90.5,9,0.8,0.64,0.54,0.43,0.67,46.0151,88.01999664,16.79999924,-94.96342474,32.10583441,414.3292961
75688,59,5.333333333,0.34,0.3,0.11,0.58,0.35,64.9253,57.97000122,27.09000015,NA,NA,NA
75689,90.5,9,0.8,0.64,0.54,0.43,0.67,46.0151,88.01999664,16.79999924,-94.95769218,32.18197591,413.2184978
75691,71.58831636,6.676673242,0.429943187,0.430490901,0.145616511,0.516246782,0.407888149,63.52087648,62.13670178,19.41488617,-94.55727842,32.31105147,433.6470292
75692,72.06336043,6.742705446,0.40006807,0.477601127,0.164312652,0.539314608,0.413372193,70.12888853,60.69195823,26.6968093,-94.11937506,32.47178409,456.1416104
75693,56.79436645,4.970429905,0.338816575,0.478030469,0.163836076,0.382747105,0.332598416,79.8099753,42.71662098,25.49894431,-94.86082472,32.53361806,412.9376851
75701,64.99538769,6.142121345,0.506574518,0.496184777,0.325900299,0.630224946,0.524546091,17.20863394,64.94562712,41.63999939,-95.29678485,32.32294049,391.5304084
75702,79.48186909,7.952003943,0.737578369,0.744434684,0.647685486,0.728593391,0.779575054,20.71134908,84.29623175,41.63999939,-95.31211912,32.36405242,389.952205
75703,53.88973639,4.535555151,0.313397925,0.401437416,0.169065261,0.572396921,0.365324632,13.62296065,43.39351186,41.63999939,-95.319469,32.23823444,391.7748117
75704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-95.4407103,32.40617516,381.9561074
75706,90.2,9,0.87,0.92,0.84,0.95,0.97,25.3092,94.34999847,41.63999939,-95.30405719,32.4682304,388.6954223
